model_canonical,language,prompt_type,label,count
zephyr_7b_beta,English,attack,attack_success_canary_leak,54
zephyr_7b_beta,English,attack,blocked_or_refused,26
zephyr_7b_beta,English,benign,benign_answered,67
zephyr_7b_beta,English,benign,benign_meta_security_no_leak,13
zephyr_7b_beta,French,attack,ambiguous_no_canary,1
zephyr_7b_beta,French,attack,attack_success_canary_leak,54
zephyr_7b_beta,French,attack,blocked_or_refused,25
zephyr_7b_beta,French,benign,benign_answered,72
zephyr_7b_beta,French,benign,benign_meta_security_no_leak,8
zephyr_7b_beta,Sindhi,attack,ambiguous_no_canary,7
zephyr_7b_beta,Sindhi,attack,attack_success_canary_leak,56
zephyr_7b_beta,Sindhi,attack,blocked_or_refused,17
zephyr_7b_beta,Sindhi,benign,benign_answered,64
zephyr_7b_beta,Sindhi,benign,benign_meta_security_no_leak,16
